Joint_0_X,Joint_0_Y,Joint_0_Z,Joint_1_X,Joint_1_Y,Joint_1_Z,Joint_2_X,Joint_2_Y,Joint_2_Z,Joint_3_X,Joint_3_Y,Joint_3_Z,Joint_4_X,Joint_4_Y,Joint_4_Z,Joint_5_X,Joint_5_Y,Joint_5_Z,Joint_6_X,Joint_6_Y,Joint_6_Z,Joint_7_X,Joint_7_Y,Joint_7_Z,Joint_8_X,Joint_8_Y,Joint_8_Z,Joint_9_X,Joint_9_Y,Joint_9_Z,Joint_10_X,Joint_10_Y,Joint_10_Z,Joint_11_X,Joint_11_Y,Joint_11_Z,Joint_12_X,Joint_12_Y,Joint_12_Z,Joint_13_X,Joint_13_Y,Joint_13_Z,Joint_14_X,Joint_14_Y,Joint_14_Z,Joint_15_X,Joint_15_Y,Joint_15_Z,Joint_16_X,Joint_16_Y,Joint_16_Z,Joint_17_X,Joint_17_Y,Joint_17_Z,Joint_18_X,Joint_18_Y,Joint_18_Z,Joint_19_X,Joint_19_Y,Joint_19_Z,Joint_20_X,Joint_20_Y,Joint_20_Z,Joint_21_X,Joint_21_Y,Joint_21_Z,Joint_22_X,Joint_22_Y,Joint_22_Z,Joint_23_X,Joint_23_Y,Joint_23_Z,Joint_24_X,Joint_24_Y,Joint_24_Z,Joint_25_X,Joint_25_Y,Joint_25_Z,Joint_26_X,Joint_26_Y,Joint_26_Z,Joint_27_X,Joint_27_Y,Joint_27_Z,Joint_28_X,Joint_28_Y,Joint_28_Z,Joint_29_X,Joint_29_Y,Joint_29_Z,Joint_30_X,Joint_30_Y,Joint_30_Z,Joint_31_X,Joint_31_Y,Joint_31_Z,Joint_32_X,Joint_32_Y,Joint_32_Z
-0.02,-0.575,-0.281,-0.003,-0.599,-0.272,-0.001,-0.599,-0.261,-0.002,-0.6,-0.265,-0.024,-0.61,-0.287,-0.024,-0.608,-0.298,-0.018,-0.595,-0.279,0.055,-0.601,-0.171,-0.082,-0.554,-0.177,0.016,-0.572,-0.23,-0.019,-0.536,-0.257,0.142,-0.441,-0.05,-0.143,-0.501,-0.015,0.2,-0.247,-0.02,-0.192,-0.219,-0.042,0.271,-0.024,0.033,-0.274,-0.004,-0.083,0.282,0.018,0.051,-0.273,0.037,-0.113,0.265,0.035,0.024,-0.251,0.025,-0.142,0.274,0.009,0.024,-0.269,0.003,-0.103,0.094,0.004,0.032,-0.091,-0.007,-0.031,0.135,0.428,0.013,-0.071,0.347,-0.053,0.166,0.765,0.179,-0.106,0.729,0.139,0.148,0.801,0.199,-0.11,0.762,0.114,0.184,0.848,0.166,-0.12,0.807,0.058
-0.021,-0.575,-0.29,-0.004,-0.599,-0.281,-0.002,-0.599,-0.27,-0.003,-0.6,-0.274,-0.025,-0.61,-0.295,-0.025,-0.608,-0.307,-0.019,-0.595,-0.288,0.054,-0.601,-0.181,-0.083,-0.553,-0.186,0.015,-0.572,-0.239,-0.02,-0.536,-0.266,0.142,-0.441,-0.057,-0.141,-0.499,-0.025,0.2,-0.247,-0.032,-0.19,-0.218,-0.051,0.271,-0.024,0.012,-0.274,-0.004,-0.09,0.282,0.017,0.028,-0.273,0.036,-0.121,0.265,0.034,-0.0,-0.251,0.025,-0.148,0.274,0.009,0.002,-0.269,0.003,-0.11,0.094,0.004,0.032,-0.091,-0.007,-0.031,0.135,0.428,0.014,-0.075,0.346,-0.053,0.166,0.765,0.178,-0.115,0.732,0.122,0.148,0.801,0.197,-0.119,0.766,0.096,0.184,0.848,0.162,-0.129,0.813,0.031
-0.023,-0.572,-0.293,-0.006,-0.595,-0.284,-0.003,-0.596,-0.272,-0.004,-0.596,-0.277,-0.028,-0.606,-0.297,-0.027,-0.604,-0.308,-0.022,-0.591,-0.289,0.056,-0.595,-0.181,-0.085,-0.548,-0.183,0.014,-0.568,-0.242,-0.022,-0.531,-0.268,0.145,-0.435,-0.057,-0.138,-0.493,-0.025,0.202,-0.238,-0.029,-0.194,-0.211,-0.049,0.273,-0.018,0.025,-0.276,0.0,-0.092,0.286,0.022,0.044,-0.274,0.04,-0.123,0.272,0.037,0.015,-0.247,0.027,-0.149,0.277,0.014,0.015,-0.268,0.006,-0.111,0.093,0.004,0.031,-0.09,-0.007,-0.029,0.139,0.427,0.015,-0.079,0.348,-0.052,0.175,0.763,0.171,-0.126,0.734,0.123,0.159,0.799,0.189,-0.131,0.768,0.097,0.195,0.847,0.153,-0.146,0.815,0.034
-0.02,-0.566,-0.33,-0.003,-0.59,-0.322,-0.001,-0.59,-0.311,-0.002,-0.59,-0.315,-0.024,-0.6,-0.337,-0.024,-0.598,-0.349,-0.018,-0.585,-0.329,0.055,-0.592,-0.221,-0.081,-0.542,-0.226,0.016,-0.562,-0.278,-0.019,-0.525,-0.305,0.142,-0.437,-0.091,-0.133,-0.49,-0.059,0.194,-0.248,-0.069,-0.188,-0.212,-0.084,0.273,-0.033,-0.026,-0.274,0.003,-0.121,0.287,0.007,-0.011,-0.275,0.046,-0.151,0.272,0.024,-0.041,-0.251,0.033,-0.178,0.277,0.0,-0.037,-0.268,0.01,-0.141,0.091,0.004,0.033,-0.087,-0.007,-0.031,0.135,0.428,0.017,-0.082,0.341,-0.05,0.165,0.774,0.158,-0.137,0.739,0.103,0.149,0.811,0.174,-0.143,0.774,0.075,0.193,0.85,0.134,-0.16,0.815,0.008
-0.022,-0.563,-0.317,-0.005,-0.587,-0.31,-0.003,-0.587,-0.298,-0.004,-0.587,-0.303,-0.026,-0.597,-0.323,-0.025,-0.595,-0.335,-0.02,-0.582,-0.315,0.055,-0.587,-0.211,-0.08,-0.538,-0.213,0.015,-0.559,-0.266,-0.02,-0.522,-0.293,0.143,-0.432,-0.081,-0.132,-0.487,-0.051,0.198,-0.245,-0.06,-0.185,-0.21,-0.079,0.274,-0.031,-0.022,-0.271,0.002,-0.122,0.287,0.008,-0.008,-0.272,0.044,-0.154,0.27,0.025,-0.037,-0.247,0.031,-0.181,0.277,0.002,-0.033,-0.265,0.009,-0.142,0.091,0.004,0.033,-0.088,-0.007,-0.032,0.139,0.432,0.022,-0.078,0.349,-0.043,0.172,0.773,0.173,-0.133,0.74,0.126,0.155,0.81,0.191,-0.139,0.775,0.1,0.193,0.857,0.153,-0.152,0.82,0.036
-0.021,-0.569,-0.299,-0.004,-0.594,-0.29,-0.002,-0.594,-0.279,-0.003,-0.595,-0.283,-0.027,-0.605,-0.304,-0.026,-0.602,-0.315,-0.021,-0.589,-0.296,0.057,-0.598,-0.185,-0.086,-0.549,-0.188,0.016,-0.567,-0.246,-0.021,-0.529,-0.273,0.144,-0.441,-0.057,-0.133,-0.497,-0.028,0.201,-0.246,-0.037,-0.191,-0.217,-0.059,0.28,-0.026,0.005,-0.277,-0.002,-0.104,0.296,0.015,0.021,-0.277,0.041,-0.135,0.28,0.033,-0.008,-0.249,0.029,-0.161,0.284,0.008,-0.005,-0.269,0.005,-0.123,0.092,0.004,0.033,-0.088,-0.007,-0.031,0.138,0.426,0.017,-0.084,0.34,-0.052,0.167,0.768,0.16,-0.136,0.73,0.11,0.15,0.805,0.177,-0.141,0.764,0.084,0.191,0.846,0.138,-0.151,0.809,0.018
-0.023,-0.564,-0.322,-0.007,-0.588,-0.315,-0.005,-0.588,-0.303,-0.006,-0.588,-0.308,-0.028,-0.598,-0.328,-0.028,-0.595,-0.34,-0.022,-0.582,-0.32,0.052,-0.591,-0.212,-0.085,-0.54,-0.216,0.013,-0.561,-0.27,-0.022,-0.523,-0.297,0.141,-0.44,-0.083,-0.136,-0.488,-0.051,0.197,-0.248,-0.061,-0.189,-0.207,-0.08,0.272,-0.025,-0.022,-0.274,0.007,-0.128,0.285,0.014,-0.008,-0.275,0.047,-0.162,0.268,0.033,-0.037,-0.25,0.035,-0.188,0.275,0.009,-0.033,-0.267,0.013,-0.148,0.091,0.002,0.032,-0.088,-0.005,-0.03,0.133,0.431,0.018,-0.084,0.351,-0.049,0.166,0.772,0.175,-0.136,0.749,0.109,0.15,0.809,0.194,-0.142,0.784,0.082,0.187,0.853,0.158,-0.162,0.828,0.017
-0.019,-0.562,-0.319,-0.003,-0.587,-0.31,-0.001,-0.586,-0.298,-0.002,-0.587,-0.303,-0.025,-0.596,-0.324,-0.024,-0.594,-0.336,-0.019,-0.581,-0.316,0.056,-0.589,-0.206,-0.084,-0.536,-0.211,0.018,-0.559,-0.266,-0.018,-0.52,-0.293,0.143,-0.434,-0.075,-0.132,-0.483,-0.047,0.199,-0.243,-0.049,-0.183,-0.203,-0.075,0.276,-0.022,-0.003,-0.273,0.007,-0.118,0.29,0.017,0.013,-0.275,0.047,-0.15,0.274,0.035,-0.016,-0.252,0.035,-0.176,0.28,0.011,-0.014,-0.268,0.013,-0.138,0.09,0.003,0.034,-0.087,-0.006,-0.032,0.136,0.427,0.022,-0.081,0.345,-0.051,0.166,0.769,0.17,-0.132,0.741,0.109,0.149,0.806,0.188,-0.138,0.776,0.082,0.191,0.847,0.151,-0.151,0.818,0.019
-0.023,-0.572,-0.291,-0.006,-0.596,-0.281,-0.004,-0.596,-0.269,-0.005,-0.596,-0.274,-0.029,-0.606,-0.294,-0.029,-0.603,-0.305,-0.023,-0.59,-0.286,0.056,-0.598,-0.174,-0.088,-0.547,-0.176,0.015,-0.569,-0.238,-0.022,-0.531,-0.264,0.143,-0.439,-0.049,-0.134,-0.491,-0.013,0.2,-0.24,-0.022,-0.189,-0.204,-0.039,0.275,-0.019,0.03,-0.283,0.009,-0.089,0.288,0.021,0.048,-0.284,0.049,-0.12,0.274,0.037,0.02,-0.26,0.037,-0.147,0.279,0.014,0.02,-0.277,0.015,-0.109,0.092,0.004,0.029,-0.089,-0.007,-0.027,0.139,0.43,0.012,-0.091,0.344,-0.047,0.176,0.77,0.162,-0.138,0.735,0.117,0.16,0.807,0.18,-0.143,0.77,0.09,0.2,0.851,0.146,-0.163,0.812,0.028
-0.017,-0.573,-0.304,0.0,-0.597,-0.296,0.002,-0.597,-0.284,0.001,-0.597,-0.289,-0.022,-0.608,-0.309,-0.021,-0.605,-0.321,-0.016,-0.592,-0.301,0.061,-0.598,-0.193,-0.079,-0.55,-0.195,0.02,-0.57,-0.252,-0.016,-0.533,-0.278,0.147,-0.442,-0.067,-0.131,-0.494,-0.032,0.201,-0.243,-0.044,-0.184,-0.208,-0.058,0.269,-0.016,-0.003,-0.275,0.004,-0.106,0.281,0.027,0.013,-0.276,0.044,-0.138,0.265,0.046,-0.016,-0.25,0.032,-0.164,0.272,0.019,-0.013,-0.268,0.01,-0.126,0.093,0.004,0.03,-0.09,-0.006,-0.028,0.142,0.432,0.014,-0.093,0.348,-0.043,0.178,0.769,0.17,-0.141,0.734,0.136,0.162,0.806,0.189,-0.146,0.768,0.112,0.202,0.85,0.153,-0.166,0.812,0.051
