"[0.442, 0.171, -0.069]","[0.462, 0.163, -0.024]","[0.474, 0.164, -0.024]","[0.485, 0.166, -0.024]","[0.431, 0.162, -0.032]","[0.422, 0.162, -0.033]","[0.412, 0.163, -0.034]","[0.492, 0.178, 0.171]","[0.389, 0.174, 0.135]","[0.465, 0.188, 0.007]","[0.421, 0.187, -0.01]","[0.552, 0.25, 0.202]","[0.315, 0.234, 0.1]","[0.634, 0.152, 0.093]","[0.284, 0.128, -0.108]","[0.608, 0.049, -0.068]","[0.28, 0.017, -0.25]","[0.605, 0.023, -0.116]","[0.273, 0.001, -0.321]","[0.582, 0.015, -0.128]","[0.289, -0.0, -0.321]","[0.577, 0.027, -0.08]","[0.297, 0.006, -0.266]","[0.506, 0.481, 0.049]","[0.33, 0.479, -0.05]","[0.499, 0.674, 0.052]","[0.314, 0.671, -0.159]","[0.495, 0.834, 0.295]","[0.287, 0.839, 0.081]","[0.465, 0.846, 0.304]","[0.284, 0.852, 0.098]","[0.517, 0.918, 0.024]","[0.288, 0.918, -0.184]"
"[0.448, 0.173, -0.077]","[0.467, 0.164, -0.019]","[0.48, 0.166, -0.019]","[0.492, 0.167, -0.019]","[0.437, 0.164, -0.027]","[0.428, 0.165, -0.028]","[0.418, 0.166, -0.028]","[0.501, 0.182, 0.215]","[0.394, 0.176, 0.179]","[0.472, 0.191, 0.012]","[0.429, 0.19, -0.005]","[0.557, 0.255, 0.237]","[0.319, 0.235, 0.151]","[0.642, 0.155, 0.069]","[0.286, 0.131, -0.067]","[0.608, 0.043, -0.138]","[0.281, 0.02, -0.231]","[0.617, 0.018, -0.197]","[0.263, 0.005, -0.31]","[0.593, 0.015, -0.198]","[0.283, 0.001, -0.308]","[0.582, 0.025, -0.147]","[0.295, 0.009, -0.249]","[0.515, 0.482, 0.058]","[0.336, 0.481, -0.058]","[0.505, 0.674, 0.086]","[0.318, 0.665, -0.168]","[0.49, 0.841, 0.347]","[0.294, 0.847, 0.065]","[0.465, 0.849, 0.356]","[0.292, 0.86, 0.077]","[0.51, 0.92, 0.026]","[0.294, 0.923, -0.262]"
"[0.453, 0.171, -0.075]","[0.47, 0.164, -0.016]","[0.481, 0.166, -0.017]","[0.492, 0.167, -0.017]","[0.443, 0.164, -0.027]","[0.435, 0.165, -0.028]","[0.426, 0.165, -0.028]","[0.503, 0.183, 0.215]","[0.402, 0.177, 0.169]","[0.474, 0.189, 0.013]","[0.437, 0.187, -0.007]","[0.566, 0.256, 0.244]","[0.323, 0.235, 0.13]","[0.651, 0.158, 0.085]","[0.291, 0.131, -0.097]","[0.619, 0.053, -0.139]","[0.28, 0.021, -0.274]","[0.625, 0.026, -0.2]","[0.256, 0.005, -0.358]","[0.6, 0.021, -0.205]","[0.274, -0.0, -0.357]","[0.589, 0.032, -0.15]","[0.289, 0.008, -0.292]","[0.525, 0.483, 0.068]","[0.348, 0.482, -0.069]","[0.509, 0.68, 0.084]","[0.323, 0.67, -0.162]","[0.502, 0.841, 0.399]","[0.296, 0.847, 0.095]","[0.476, 0.85, 0.413]","[0.291, 0.862, 0.11]","[0.522, 0.917, 0.082]","[0.303, 0.924, -0.24]"
"[0.458, 0.18, -0.058]","[0.477, 0.17, -0.004]","[0.489, 0.172, -0.005]","[0.5, 0.174, -0.004]","[0.448, 0.169, -0.014]","[0.439, 0.169, -0.015]","[0.43, 0.169, -0.015]","[0.51, 0.187, 0.212]","[0.407, 0.18, 0.167]","[0.48, 0.198, 0.025]","[0.439, 0.196, 0.006]","[0.568, 0.259, 0.243]","[0.33, 0.238, 0.136]","[0.656, 0.161, 0.122]","[0.298, 0.13, -0.063]","[0.625, 0.055, -0.047]","[0.293, 0.021, -0.194]","[0.632, 0.026, -0.091]","[0.273, 0.005, -0.263]","[0.607, 0.021, -0.096]","[0.29, 0.0, -0.258]","[0.595, 0.032, -0.055]","[0.307, 0.009, -0.208]","[0.526, 0.483, 0.06]","[0.355, 0.481, -0.061]","[0.515, 0.676, 0.1]","[0.325, 0.662, -0.164]","[0.504, 0.841, 0.328]","[0.297, 0.84, 0.039]","[0.48, 0.85, 0.334]","[0.295, 0.856, 0.049]","[0.517, 0.914, 0.034]","[0.287, 0.92, -0.262]"
"[0.461, 0.174, -0.066]","[0.48, 0.168, -0.016]","[0.491, 0.169, -0.017]","[0.502, 0.172, -0.017]","[0.452, 0.167, -0.026]","[0.443, 0.167, -0.027]","[0.433, 0.168, -0.027]","[0.513, 0.188, 0.182]","[0.408, 0.181, 0.141]","[0.485, 0.192, 0.01]","[0.443, 0.19, -0.009]","[0.574, 0.261, 0.197]","[0.335, 0.24, 0.102]","[0.659, 0.16, 0.033]","[0.299, 0.132, -0.096]","[0.628, 0.054, -0.164]","[0.292, 0.021, -0.216]","[0.635, 0.027, -0.214]","[0.276, 0.004, -0.282]","[0.608, 0.024, -0.218]","[0.292, -0.001, -0.278]","[0.598, 0.033, -0.173]","[0.303, 0.007, -0.23]","[0.532, 0.487, 0.05]","[0.362, 0.482, -0.051]","[0.522, 0.678, 0.081]","[0.333, 0.661, -0.164]","[0.51, 0.848, 0.296]","[0.293, 0.846, 0.022]","[0.485, 0.856, 0.301]","[0.289, 0.86, 0.032]","[0.52, 0.924, 0.011]","[0.292, 0.922, -0.265]"
"[0.466, 0.184, -0.088]","[0.489, 0.176, -0.037]","[0.501, 0.178, -0.038]","[0.512, 0.181, -0.037]","[0.458, 0.174, -0.043]","[0.449, 0.175, -0.044]","[0.439, 0.176, -0.045]","[0.521, 0.193, 0.167]","[0.414, 0.187, 0.14]","[0.491, 0.203, -0.009]","[0.446, 0.2, -0.023]","[0.579, 0.265, 0.181]","[0.341, 0.245, 0.113]","[0.662, 0.164, -0.001]","[0.307, 0.141, -0.091]","[0.634, 0.057, -0.198]","[0.3, 0.028, -0.222]","[0.636, 0.029, -0.25]","[0.283, 0.008, -0.29]","[0.612, 0.026, -0.25]","[0.304, 0.005, -0.283]","[0.603, 0.035, -0.206]","[0.319, 0.015, -0.235]","[0.536, 0.487, 0.042]","[0.36, 0.484, -0.043]","[0.528, 0.675, 0.058]","[0.331, 0.664, -0.17]","[0.506, 0.846, 0.281]","[0.295, 0.846, 0.022]","[0.479, 0.855, 0.286]","[0.296, 0.861, 0.031]","[0.523, 0.922, -0.003]","[0.282, 0.927, -0.265]"
"[0.47, 0.184, -0.07]","[0.489, 0.177, -0.016]","[0.501, 0.179, -0.017]","[0.513, 0.181, -0.017]","[0.462, 0.176, -0.028]","[0.453, 0.176, -0.029]","[0.444, 0.177, -0.03]","[0.523, 0.196, 0.195]","[0.421, 0.189, 0.14]","[0.493, 0.202, 0.011]","[0.452, 0.2, -0.011]","[0.578, 0.268, 0.218]","[0.344, 0.245, 0.102]","[0.662, 0.167, 0.064]","[0.318, 0.138, -0.101]","[0.629, 0.057, -0.148]","[0.314, 0.029, -0.228]","[0.63, 0.033, -0.204]","[0.298, 0.01, -0.299]","[0.606, 0.029, -0.207]","[0.316, 0.006, -0.295]","[0.6, 0.038, -0.157]","[0.329, 0.016, -0.243]","[0.534, 0.49, 0.06]","[0.361, 0.487, -0.061]","[0.52, 0.685, 0.069]","[0.333, 0.67, -0.17]","[0.509, 0.856, 0.303]","[0.296, 0.849, 0.055]","[0.483, 0.866, 0.311]","[0.293, 0.862, 0.068]","[0.523, 0.933, 0.001]","[0.296, 0.929, -0.246]"
"[0.473, 0.19, -0.134]","[0.493, 0.181, -0.086]","[0.505, 0.183, -0.086]","[0.516, 0.185, -0.086]","[0.463, 0.179, -0.093]","[0.454, 0.18, -0.094]","[0.445, 0.18, -0.094]","[0.523, 0.198, 0.121]","[0.419, 0.191, 0.089]","[0.496, 0.209, -0.054]","[0.452, 0.206, -0.07]","[0.578, 0.269, 0.14]","[0.343, 0.249, 0.067]","[0.663, 0.168, -0.052]","[0.316, 0.142, -0.159]","[0.63, 0.055, -0.255]","[0.315, 0.031, -0.312]","[0.632, 0.031, -0.31]","[0.302, 0.012, -0.384]","[0.609, 0.028, -0.309]","[0.319, 0.007, -0.378]","[0.602, 0.037, -0.263]","[0.331, 0.017, -0.327]","[0.532, 0.49, 0.045]","[0.354, 0.49, -0.046]","[0.521, 0.683, 0.073]","[0.328, 0.671, -0.16]","[0.508, 0.853, 0.272]","[0.291, 0.848, 0.033]","[0.482, 0.863, 0.275]","[0.29, 0.864, 0.042]","[0.53, 0.928, -0.013]","[0.284, 0.93, -0.251]"
"[0.469, 0.188, -0.13]","[0.49, 0.181, -0.081]","[0.502, 0.183, -0.082]","[0.514, 0.185, -0.082]","[0.461, 0.18, -0.088]","[0.453, 0.181, -0.089]","[0.443, 0.182, -0.09]","[0.523, 0.2, 0.118]","[0.42, 0.193, 0.088]","[0.494, 0.206, -0.052]","[0.453, 0.203, -0.067]","[0.577, 0.271, 0.129]","[0.347, 0.253, 0.069]","[0.66, 0.169, -0.062]","[0.32, 0.148, -0.14]","[0.625, 0.057, -0.277]","[0.3, 0.035, -0.296]","[0.627, 0.032, -0.335]","[0.276, 0.017, -0.366]","[0.606, 0.029, -0.338]","[0.286, 0.009, -0.37]","[0.598, 0.038, -0.287]","[0.309, 0.018, -0.315]","[0.529, 0.493, 0.043]","[0.354, 0.493, -0.044]","[0.521, 0.683, 0.076]","[0.334, 0.669, -0.152]","[0.511, 0.851, 0.306]","[0.297, 0.85, 0.035]","[0.486, 0.86, 0.312]","[0.294, 0.869, 0.043]","[0.529, 0.929, 0.021]","[0.296, 0.93, -0.26]"
"[0.467, 0.196, -0.086]","[0.485, 0.187, -0.036]","[0.497, 0.188, -0.037]","[0.509, 0.19, -0.037]","[0.458, 0.185, -0.046]","[0.449, 0.185, -0.047]","[0.439, 0.184, -0.047]","[0.52, 0.204, 0.169]","[0.417, 0.195, 0.127]","[0.488, 0.214, -0.005]","[0.448, 0.211, -0.024]","[0.566, 0.272, 0.191]","[0.34, 0.253, 0.104]","[0.654, 0.173, 0.023]","[0.318, 0.147, -0.109]","[0.622, 0.062, -0.208]","[0.313, 0.036, -0.252]","[0.624, 0.038, -0.269]","[0.308, 0.016, -0.324]","[0.603, 0.035, -0.272]","[0.317, 0.011, -0.321]","[0.595, 0.044, -0.218]","[0.324, 0.021, -0.268]","[0.525, 0.492, 0.053]","[0.349, 0.493, -0.054]","[0.518, 0.68, 0.091]","[0.333, 0.677, -0.15]","[0.508, 0.845, 0.324]","[0.298, 0.853, 0.078]","[0.48, 0.855, 0.33]","[0.293, 0.867, 0.092]","[0.525, 0.924, 0.033]","[0.293, 0.933, -0.208]"
